id,label
jet_877,0.04725421054864326
jet_4950,0.4219486386144541
jet_2484,0.24915566200606543
jet_2288,0.4716614111306285
jet_811,0.01572280903157917
jet_248,0.02878888902716003
jet_3298,0.013269070636375889
jet_106,0.02015292471084504
jet_279,0.6444100121632086
jet_1281,0.010895541159565897
jet_2822,0.02128928042956631
jet_4159,0.8571428096306701
jet_5025,0.9163649548145371
jet_3970,0.9004271566379275
jet_333,0.011138553173583194
jet_3064,0.008803898858261593
jet_501,0.03089033311983887
jet_2092,0.006914480399517869
jet_3253,0.011639390933242394
jet_1477,0.013301025383666329
jet_4449,0.6604116606486512
jet_2547,0.010777972269107
jet_2841,0.07072064295200094
jet_1158,0.01437394571896986
jet_4668,0.9394145476137241
jet_859,0.007674537772884149
jet_2686,0.39585451868699956
jet_4479,0.6126086417671487
jet_3570,0.8873040046017088
jet_1335,0.01767264412800054
jet_3686,0.8387753928332619
jet_2445,0.007911760971683099
jet_2536,0.036620956891477756
jet_2083,0.019252095379583067
jet_1807,0.014909474292095229
jet_2584,0.03647053513370233
jet_3630,0.9116004324627899
jet_4119,0.9142898660836163
jet_296,0.02474346056358347
jet_2100,0.03402629949460611
jet_1784,0.009401989654670803
jet_2394,0.009509117252003948
jet_393,0.038059449517488214
jet_1569,0.027502551928734135
jet_681,0.03364501271432162
jet_2722,0.00683649653220546
jet_2357,0.014442766682543283
jet_3924,0.8106545232541452
jet_2329,0.2879247006248223
jet_3347,0.9464602280758699
jet_2895,0.020158704235041604
jet_79,0.028725205600446158
jet_742,0.022052085512375103
jet_2653,0.012266984224818353
jet_199,0.016478186245687317
jet_4543,0.9218787469960485
jet_5010,0.4878432392150592
jet_429,0.03207991512528808
jet_3558,0.8462323370921639
jet_4853,0.9568257549358424
jet_179,0.013629804907172213
jet_65,0.4901346087355133
jet_4281,0.9265467210579778
jet_4860,0.8027147493225588
jet_764,0.041142991579454884
jet_2589,0.006698686562953332
jet_5023,0.7632380903595598
jet_4322,0.8769443012826675
jet_881,0.013165948239356786
jet_1168,0.014429059966896956
jet_4506,0.48228939518822994
jet_3040,0.4207424662507387
jet_2170,0.01643698266509882
jet_3737,0.8974908969235289
jet_1912,0.00915838061014637
jet_29,0.07934966832379804
jet_584,0.035566059913139325
jet_472,0.009914147940392786
jet_491,0.010421233685334501
jet_2974,0.015057462352532995
jet_2121,0.0401678793474125
jet_2877,0.01883794118605277
jet_553,0.6203426787156299
jet_798,0.01740216691855037
jet_1170,0.018044959202354292
jet_724,0.00712678474969872
jet_2487,0.03939476403816773
jet_1212,0.031100305351421265
jet_1433,0.030673346443566944
jet_3197,0.042954159151274665
jet_1181,0.04601676428174365
jet_23,0.3048642194362762
