id,label
jet_877,0.03781425
jet_4950,0.26691762
jet_2484,0.24765301
jet_2288,0.24232396
jet_811,0.027263546
jet_248,0.028592238
jet_3298,0.03272084
jet_106,0.030936062
jet_279,0.6464125
jet_1281,0.034648083
jet_2822,0.030486679
jet_4159,0.73636687
jet_5025,0.8744782
jet_3970,0.81539786
jet_333,0.019533614
jet_3064,0.023815822
jet_501,0.043026038
jet_2092,0.025489364
jet_3253,0.035979327
jet_1477,0.029882144
jet_4449,0.5936659
jet_2547,0.023251822
jet_2841,0.17046455
jet_1158,0.032201968
jet_4668,0.83809406
jet_859,0.031967446
jet_2686,0.62940466
jet_4479,0.81074446
jet_3570,0.8043381
jet_1335,0.025676724
jet_3686,0.8529598
jet_2445,0.028010216
jet_2536,0.044709064
jet_2083,0.023147723
jet_1807,0.055748485
jet_2584,0.09377064
jet_3630,0.7745199
jet_4119,0.74909604
jet_296,0.032268412
jet_2100,0.03619354
jet_1784,0.036907684
jet_2394,0.032863922
jet_393,0.03873989
jet_1569,0.03203984
jet_681,0.045539193
jet_2722,0.033314187
jet_2357,0.023491831
jet_3924,0.91920596
jet_2329,0.54914665
jet_3347,0.92285824
jet_2895,0.031206721
jet_79,0.04643792
jet_742,0.05396726
jet_2653,0.021976328
jet_199,0.053045154
jet_4543,0.81669694
jet_5010,0.5588555
jet_429,0.043518867
jet_3558,0.7541534
jet_4853,0.90607005
jet_179,0.04635795
jet_65,0.37067023
jet_4281,0.87441003
jet_4860,0.84006816
jet_764,0.039404877
jet_2589,0.03121174
jet_5023,0.48483658
jet_4322,0.6825329
jet_881,0.022842418
jet_1168,0.07217565
jet_4506,0.53892016
jet_3040,0.5767339
jet_2170,0.0394112
jet_3737,0.7185818
jet_1912,0.026478454
jet_29,0.04827099
jet_584,0.08832054
jet_472,0.021224957
jet_491,0.0282933
jet_2974,0.049905412
jet_2121,0.03946308
jet_2877,0.020633165
jet_553,0.59375817
jet_798,0.037116237
jet_1170,0.03763444
jet_724,0.024117442
jet_2487,0.035535745
jet_1212,0.044916123
jet_1433,0.039831627
jet_3197,0.042795278
jet_1181,0.05510831
jet_23,0.4215041
jet_2259,0.03178357
jet_3988,0.764109
jet_168,0.34777418
jet_3605,0.5905843
jet_1592,0.79598117
jet_2986,0.05162844
jet_4564,0.6266471
jet_4221,0.85437316
jet_227,0.31288886
jet_1420,0.037942108
jet_4195,0.8189486
jet_2746,0.054446638
jet_1532,0.58203316
jet_3916,0.78112113
jet_4325,0.9465703
jet_842,0.04749203
jet_1305,0.019329896
jet_240,0.78399396
jet_84,0.020895395
jet_3164,0.09582913
jet_807,0.34248155
jet_4776,0.840979
jet_2750,0.037925128
jet_1360,0.053530127
jet_705,0.04237831
jet_3912,0.778927
jet_927,0.046263833
jet_746,0.054446638
jet_2459,0.025286585
jet_157,0.031285726
jet_1330,0.6914135
jet_3257,0.03284381
jet_1270,0.054830242
jet_4398,0.73159593
jet_2992,0.252917
jet_1038,0.033111785
jet_4981,0.45048818
jet_3447,0.31472364
jet_763,0.021932062
jet_1444,0.026875619
jet_3805,0.8515419
jet_1593,0.03126541
jet_1041,0.031563465
jet_1103,0.029851144
jet_2119,0.19103691
jet_4231,0.7758781
jet_1626,0.04955721
jet_3543,0.8175847
jet_3918,0.7720668
jet_2859,0.04241211
jet_3958,0.054446638
jet_4154,0.78007376
jet_2520,0.024244968
jet_4952,0.6689088
jet_4621,0.8887666
jet_3683,0.8935214
jet_3909,0.8243047
jet_1144,0.03055717
jet_4064,0.7766926
jet_4969,0.8462752
jet_1620,0.03359814
jet_4588,0.96613616
jet_1192,0.026818747
jet_1101,0.054446638
jet_1978,0.033892147
jet_4212,0.84523946
jet_422,0.6955936
jet_589,0.033093292
jet_2497,0.026956225
jet_2104,0.04280841
jet_657,0.57693994
jet_2697,0.026162636
jet_4050,0.7923733
jet_4256,0.80594414
jet_4882,0.7124641
jet_426,0.022132128
jet_4280,0.8582071
jet_4819,0.8522423
jet_2907,0.023218099
jet_3184,0.033343
jet_1769,0.046852887
jet_2656,0.14297074
jet_3409,0.91021776
jet_4985,0.8867049
